Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-24 09:21:36:412701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:36:526702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:37:153701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:37:225702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:37:301702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:38:198712,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:38:269701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:38:337714,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:38:870702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:38:942702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:39:013703,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:40:171701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:40:242722,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:40:309702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:40:881702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:40:959701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:41:029701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:42:191705,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:42:264701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:42:334701,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:42:885702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:42:957702,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:21:43:029702,0.0,0.0,0.0,0.0,164,164
