Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-24 09:20:05:,0.0,0.0,0.0,0.0,164,165
2023-07-24 09:22:17:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:18:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:18:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:19:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:20:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:20:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:20:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:21:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:21:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:22:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:22:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:23:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:24:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:24:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:24:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:25:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:26:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:26:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:27:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:28:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:28:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:28:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:29:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:29:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:30:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:30:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:31:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:31:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:32:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:32:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:33:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:33:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:34:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:34:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:35:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:35:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:36:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:36:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:37:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:37:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:38:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:38:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:39:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:39:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:40:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:40:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:41:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:41:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:42:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:42:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:43:,0.0,0.0,0.0,0.0,164,164
2023-07-24 09:22:43:,0.0,0.0,0.0,0.0,164,164
